epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,22757.8,0.74663,0.56055,1.14219,0.87159,0.73389,0.81469,0.50181,1.40785,1.28215,1.7861,0.0005942,0.0005942,0.0005942
73,23044,0.7211,0.52545,1.10018,0.98922,0.64865,0.79752,0.51099,1.39236,1.35233,1.74091,0.0005744,0.0005744,0.0005744
74,23309.5,0.70776,0.52447,1.09813,0.82646,0.72973,0.77072,0.50973,1.39326,1.3694,1.72447,0.0005546,0.0005546,0.0005546
75,23620.2,0.76235,0.53044,1.12089,0.89263,0.67412,0.78185,0.49968,1.40137,1.4208,1.70522,0.0005348,0.0005348,0.0005348
76,23958.4,0.7405,0.5426,1.10298,0.9836,0.64865,0.765,0.47713,1.37269,1.29275,1.70231,0.000515,0.000515,0.000515
77,24275.5,0.74275,0.5748,1.11414,0.92522,0.7027,0.76289,0.48567,1.35507,1.26242,1.68566,0.0004952,0.0004952,0.0004952
78,24578.3,0.75444,0.54811,1.12185,0.96125,0.67068,0.76958,0.48467,1.31996,1.18425,1.66065,0.0004754,0.0004754,0.0004754
79,24908.1,0.7455,0.50754,1.12946,0.96699,0.64865,0.80076,0.49177,1.3985,1.16403,1.74422,0.0004556,0.0004556,0.0004556
80,25212.1,0.67864,0.50396,1.08258,0.88559,0.72973,0.7907,0.48388,1.41912,1.11016,1.71016,0.0004358,0.0004358,0.0004358
81,25516.2,0.74088,0.54695,1.09957,0.86775,0.72973,0.78999,0.51279,1.44686,1.21628,1.7224,0.000416,0.000416,0.000416
82,25808.7,0.64517,0.48458,1.04165,0.98386,0.67568,0.79636,0.51264,1.40692,1.23202,1.70575,0.0003962,0.0003962,0.0003962
83,26104.5,0.64975,0.48371,1.03824,0.77853,0.78378,0.79624,0.49737,1.34924,1.25152,1.67809,0.0003764,0.0003764,0.0003764
84,26368.3,0.63167,0.45398,1.03748,0.965,0.64865,0.78099,0.49608,1.3257,1.32193,1.67233,0.0003566,0.0003566,0.0003566
85,26649.7,0.66911,0.49966,1.06852,0.95958,0.67568,0.78394,0.50527,1.33569,1.28174,1.70846,0.0003368,0.0003368,0.0003368
86,26924.3,0.64254,0.49914,1.07115,0.92879,0.72973,0.80134,0.50821,1.36965,1.23081,1.76498,0.000317,0.000317,0.000317
87,27179.2,0.59048,0.43204,1.02468,0.9576,0.7027,0.79799,0.5086,1.3524,1.20585,1.75265,0.0002972,0.0002972,0.0002972
88,27441.3,0.60262,0.4417,1.02334,0.91954,0.7027,0.78962,0.51997,1.36885,1.24996,1.73678,0.0002774,0.0002774,0.0002774
89,27697,0.6074,0.45235,1.05582,0.95355,0.67568,0.7945,0.50282,1.35951,1.28578,1.72241,0.0002576,0.0002576,0.0002576
90,27953.8,0.60983,0.44518,1.04664,0.99062,0.67568,0.79639,0.49637,1.3441,1.2093,1.72607,0.0002378,0.0002378,0.0002378
91,28256.9,0.54728,0.40201,0.9482,0.95978,0.7027,0.80198,0.49773,1.36486,1.19647,1.74937,0.000218,0.000218,0.000218
92,28563.2,0.53897,0.3864,0.96669,1,0.69963,0.7864,0.49612,1.42441,1.24581,1.76023,0.0001982,0.0001982,0.0001982
93,28860.1,0.53291,0.38174,0.94733,0.95814,0.7027,0.7713,0.49406,1.42969,1.26241,1.74725,0.0001784,0.0001784,0.0001784
94,29123,0.49669,0.36661,0.93391,0.99479,0.67568,0.7454,0.48458,1.44704,1.30592,1.74642,0.0001586,0.0001586,0.0001586
95,29389.4,0.48907,0.34562,0.91829,1,0.69778,0.7505,0.494,1.44137,1.31558,1.74515,0.0001388,0.0001388,0.0001388
96,29641.5,0.47994,0.33745,0.92662,0.99609,0.7027,0.75274,0.48534,1.42531,1.33963,1.75086,0.000119,0.000119,0.000119
97,29918.7,0.47459,0.33505,0.92785,0.99374,0.7027,0.76004,0.49098,1.4228,1.34375,1.74784,9.92e-05,9.92e-05,9.92e-05
98,30188.7,0.45081,0.329,0.92299,1,0.69646,0.76477,0.4882,1.4089,1.34202,1.74029,7.94e-05,7.94e-05,7.94e-05
99,30458.9,0.43016,0.33775,0.91174,0.94628,0.7027,0.76558,0.49344,1.41025,1.34745,1.74586,5.96e-05,5.96e-05,5.96e-05
100,30716.2,0.424,0.31302,0.89785,1,0.69402,0.77246,0.48889,1.4073,1.34453,1.75601,3.98e-05,3.98e-05,3.98e-05
